---
algname: CP scaling
success: converged
free_format: True
---
problem0 converged 0.23236298561096191
problem1 converged 0.16270017623901367
problem2 converged 0.12085723876953125
problem3 converged 0.19582271575927734
problem4 converged 0.10765647888183594
problem5 converged 0.14937162399291992
problem6 converged 0.13932347297668457
problem7 converged 0.18276357650756836
problem8 converged 0.1892244815826416
problem9 converged 0.14754104614257812
problem10 converged 0.19114232063293457
problem11 converged 0.17930269241333008
problem12 converged 0.14058494567871094
problem13 converged 0.15822792053222656
problem14 converged 0.10720109939575195
problem15 converged 0.12346029281616211
problem16 converged 0.16099929809570312
problem17 converged 0.1823873519897461
problem18 converged 0.14771461486816406
problem19 converged 0.12880897521972656
problem20 converged 0.1873774528503418
problem21 converged 0.16783404350280762
problem22 converged 0.1687161922454834
problem23 converged 0.23248553276062012
problem24 converged 0.2017230987548828
problem25 converged 0.12320470809936523
problem26 converged 0.2130882740020752
problem27 converged 0.13112998008728027
problem28 converged 0.10918879508972168
problem29 converged 0.12954497337341309
problem30 converged 0.1484050750732422
problem31 converged 0.18367862701416016
problem32 converged 0.1263275146484375
problem33 converged 0.11014556884765625
problem34 converged 0.1465778350830078
problem35 converged 0.18615126609802246
problem36 converged 0.21650028228759766
problem37 converged 0.17295217514038086
problem38 converged 0.15759706497192383
problem39 converged 0.1742539405822754
problem40 converged 0.1475846767425537
problem41 converged 0.16087079048156738
problem42 converged 0.22333955764770508
problem43 converged 0.12158083915710449
problem44 converged 0.1069638729095459
problem45 converged 0.2320420742034912
problem46 converged 0.14559412002563477
problem47 converged 0.10757708549499512
problem48 converged 0.12215828895568848
problem49 converged 0.12239885330200195
problem50 converged 0.18023300170898438
problem51 converged 0.16844725608825684
problem52 converged 0.16139531135559082
problem53 converged 0.21599864959716797
problem54 converged 0.17055630683898926
problem55 converged 0.14806771278381348
problem56 converged 0.13271188735961914
problem57 converged 0.14971303939819336
problem58 converged 0.21794629096984863
problem59 converged 0.1586930751800537
problem60 converged 0.1546175479888916
problem61 converged 0.22171354293823242
problem62 converged 0.1732776165008545
problem63 converged 0.16419458389282227
problem64 converged 0.16518926620483398
problem65 converged 0.1730964183807373
problem66 converged 0.18131494522094727
problem67 converged 0.12157797813415527
problem68 converged 0.13161396980285645
problem69 converged 0.17309212684631348
problem70 converged 0.16886472702026367
problem71 converged 0.13741326332092285
problem72 converged 0.1553058624267578
problem73 converged 0.11320829391479492
problem74 converged 0.13519716262817383
problem75 converged 0.14984655380249023
problem76 converged 0.17040085792541504
problem77 converged 0.19913220405578613
problem78 converged 0.18756723403930664
problem79 converged 0.14418935775756836
problem80 converged 0.1448683738708496
problem81 converged 0.17316126823425293
problem82 converged 0.13829445838928223
problem83 converged 0.147935152053833
problem84 converged 0.2235734462738037
problem85 converged 0.1346297264099121
problem86 converged 0.23030829429626465
problem87 converged 0.15871906280517578
problem88 converged 0.10570073127746582
problem89 converged 0.14257383346557617
problem90 converged 0.1365811824798584
problem91 converged 0.19925498962402344
problem92 converged 0.1847078800201416
problem93 converged 0.13559985160827637
problem94 converged 0.26186656951904297
problem95 converged 0.1477975845336914
problem96 converged 0.1816105842590332
problem97 converged 0.19175148010253906
problem98 converged 0.21936273574829102
problem99 converged 0.1850903034210205
