---
algname: ADMM scaling
success: converged
free_format: True
---
problem0 converged 0.16118597984313965
problem1 converged 0.1646134853363037
problem2 converged 0.17681360244750977
problem3 converged 0.17264080047607422
problem4 converged 0.15785503387451172
problem5 converged 0.14644479751586914
problem6 converged 0.10322189331054688
problem7 converged 0.23963356018066406
problem8 converged 0.10759234428405762
problem9 converged 0.14456963539123535
problem10 converged 0.10635900497436523
problem11 converged 0.1634969711303711
problem12 converged 0.14444947242736816
problem13 converged 0.13520383834838867
problem14 converged 0.1431889533996582
problem15 converged 0.10698366165161133
problem16 converged 0.20465588569641113
problem17 converged 0.17515802383422852
problem18 converged 0.1905536651611328
problem19 converged 0.18786978721618652
problem20 converged 0.1599559783935547
problem21 converged 0.12207913398742676
problem22 converged 0.17233014106750488
problem23 converged 0.11139678955078125
problem24 converged 0.2174696922302246
problem25 converged 0.1502852439880371
problem26 converged 0.19261789321899414
problem27 converged 0.1798241138458252
problem28 converged 0.10608720779418945
problem29 converged 0.14028096199035645
problem30 converged 0.11813139915466309
problem31 converged 0.2222914695739746
problem32 converged 0.14664173126220703
problem33 converged 0.2436962127685547
problem34 converged 0.1524333953857422
problem35 converged 0.1632218360900879
problem36 converged 0.22571325302124023
problem37 converged 0.2033553123474121
problem38 converged 0.16393804550170898
problem39 converged 0.17806053161621094
problem40 converged 0.24532055854797363
problem41 converged 0.1202383041381836
problem42 converged 0.15474390983581543
problem43 converged 0.24086761474609375
problem44 converged 0.15854930877685547
problem45 converged 0.150010347366333
problem46 converged 0.13290977478027344
problem47 converged 0.14111685752868652
problem48 converged 0.14721298217773438
problem49 converged 0.16003751754760742
problem50 converged 0.17757844924926758
problem51 converged 0.14526987075805664
problem52 converged 0.1708369255065918
problem53 converged 0.19214081764221191
problem54 converged 0.14867258071899414
problem55 converged 0.13922953605651855
problem56 converged 0.19659733772277832
problem57 converged 0.1329641342163086
problem58 converged 0.2582387924194336
problem59 converged 0.21053075790405273
problem60 converged 0.18128275871276855
problem61 converged 0.13469457626342773
problem62 converged 0.2227621078491211
problem63 converged 0.23438429832458496
problem64 converged 0.16464781761169434
problem65 converged 0.14629650115966797
problem66 converged 0.14261984825134277
problem67 converged 0.12355256080627441
problem68 converged 0.13298988342285156
problem69 converged 0.14911222457885742
problem70 converged 0.13619160652160645
problem71 converged 0.13330531120300293
problem72 converged 0.1755390167236328
problem73 converged 0.10749053955078125
problem74 converged 0.10610318183898926
problem75 converged 0.17082834243774414
problem76 converged 0.13568401336669922
problem77 converged 0.22799181938171387
problem78 converged 0.1918351650238037
problem79 converged 0.19008278846740723
problem80 converged 0.11962676048278809
problem81 converged 0.12874078750610352
problem82 converged 0.2645246982574463
problem83 converged 0.2324390411376953
problem84 converged 0.1937110424041748
problem85 converged 0.16370892524719238
problem86 converged 0.19023728370666504
problem87 converged 0.12301111221313477
problem88 converged 0.17845964431762695
problem89 converged 0.14417600631713867
problem90 converged 0.15395140647888184
problem91 converged 0.1291332244873047
problem92 converged 0.20199131965637207
problem93 converged 0.11832165718078613
problem94 converged 0.15313076972961426
problem95 converged 0.2016608715057373
problem96 converged 0.20033001899719238
problem97 converged 0.12125706672668457
problem98 converged 0.18916654586791992
problem99 converged 0.12357115745544434
problem75 failed 13.434035778045654
problem76 converged 0.2837069034576416
problem77 converged 0.13513755798339844
problem78 converged 0.6836791038513184
problem79 converged 0.6235685348510742
problem80 converged 0.3360891342163086
problem81 converged 0.1447749137878418
problem82 converged 0.21271634101867676
problem83 converged 0.6907165050506592
problem84 converged 0.23733901977539062
problem85 converged 0.10368466377258301
problem86 converged 0.3775029182434082
problem87 converged 2.2635111808776855
problem88 converged 0.2843058109283447
problem89 converged 0.14363741874694824
problem90 converged 0.2886683940887451
problem91 converged 0.5017619132995605
