---
algname: ADMM scaling
success: converged
free_format: True
---
problem0 converged 184190194.2723522
problem1 converged 154492010.8286976
problem2 converged 162024197.5823281
problem3 converged 1117293042.4296424
problem4 converged 1366424557.5990548
problem5 converged 53116167.79384783
problem6 converged 564411862.6986294
problem7 converged 25147032.791797448
problem8 converged 64419155.063877225
problem9 converged 79399195.49644941
problem10 converged 189303249.4831616
problem11 converged 54838747.85560923
problem12 converged 29645854.180448554
problem13 converged 475868802.8829551
problem14 converged 260647772.47533253
problem15 converged 340892077.13554925
problem16 converged 44473210.55749625
problem17 converged 127846753.14202006
problem18 converged 3657134846.94132
problem19 converged 50657053.94180405
problem20 converged 32870627.58181315
problem21 converged 78144826.15189636
problem22 converged 1189655258.686484
problem23 converged 304392284.6598616
problem24 converged 461777959.0037171
problem25 converged 117369503.55845065
problem26 converged 691774099.0127136
problem27 converged 408401205.83966607
problem28 converged 101843750.68158486
problem29 converged 2533241626.894533
problem30 converged 12044806.116491452
problem31 converged 99892717.66708033
problem32 converged 657900811.8284903
problem33 converged 802724883.2264774
problem34 converged 123398592.11814712
problem35 converged 132046317.20274918
problem36 converged 275337810.4832627
problem37 converged 344243285.4168003
problem38 converged 503075776.96530426
problem39 converged 269274182.77507216
problem40 converged 275405171.8956503
problem41 converged 41887433.50107663
problem42 converged 741238198.5333754
problem43 converged 265932107.64051145
problem44 converged 123373105.22170351
problem45 converged 397604853.98310536
problem46 converged 312379926.8383065
problem47 converged 838597284.8259001
problem48 converged 81327919.80324058
problem49 converged 2124067806.2037
problem50 converged 94271179.82997254
problem51 converged 145795261.88020402
problem52 converged 103963998.36642496
problem53 converged 28329585.3984898
problem54 converged 2414253937.0048237
problem55 converged 101993313.47559598
problem56 converged 895517075.7775303
problem57 converged 176603718.24106753
problem58 converged 120129091.85804194
problem59 converged 2297393594.7957063
problem60 converged 2018774988.0448725
problem61 converged 554374501.08457
problem62 converged 466356808.9361266
problem63 converged 59735798.95946341
problem64 converged 68686171.77794823
problem65 converged 180481863.0522146
problem66 converged 350273085.9819985
problem67 converged 869223859.4156429
problem68 converged 231872319.08688188
problem69 converged 19062469.65695691
problem70 converged 130589516.10784645
problem71 converged 280197274.72344786
problem72 converged 71467678.18019788
problem73 converged 177068508.2229718
problem74 converged 320971686.24486005
problem75 converged 3704077630.163395
problem76 converged 1337164641.4498723
problem77 converged 90876690.54698485
problem78 converged 82929569.45303947
problem79 converged 170773649.26492092
problem80 converged 2731870010.940887
problem81 converged 71271730.39919508
problem82 converged 38161094.04242077
problem83 converged 245469528.85265082
problem84 converged 26755934.851628818
problem85 converged 323626008.2786832
problem86 converged 76457891.94159207
problem87 converged 349041368.89789754
problem88 converged 66967500.560856886
problem89 converged 675519856.8350554
problem90 converged 9065659.655663803
problem91 converged 507135608.1533118
problem92 converged 340659640.2322028
problem93 converged 381333922.64044297
problem94 converged 136547042.21001005
problem95 converged 330055960.6675952
problem96 converged 60033376.88054376
problem97 converged 105068341.33254534
problem98 converged 405632229.6340249
problem99 converged 484741438.6213452
