---
algname: CP scaling
success: converged
free_format: True
---
problem0 converged 0.5321979522705078
problem1 converged 0.30730724334716797
problem2 converged 0.6015934944152832
problem3 converged 0.49036335945129395
problem4 converged 0.42888331413269043
problem5 converged 0.3164329528808594
problem6 converged 0.30080509185791016
problem7 converged 0.35416483879089355
problem8 converged 0.3325369358062744
problem9 converged 0.3164057731628418
problem10 converged 0.38544678688049316
problem11 converged 0.41382408142089844
problem12 converged 0.28516101837158203
problem13 converged 0.6015937328338623
problem14 converged 0.5169558525085449
problem15 converged 0.26352691650390625
problem16 converged 0.40103888511657715
problem17 converged 0.40069150924682617
problem18 converged 0.4287223815917969
problem19 converged 0.3004114627838135
problem20 converged 0.36954402923583984
problem21 converged 0.35419774055480957
problem22 converged 0.3698124885559082
problem23 converged 0.5091145038604736
problem24 converged 0.5533285140991211
problem25 converged 0.4862349033355713
problem26 converged 0.4010937213897705
problem27 converged 0.43200039863586426
problem28 converged 0.35418128967285156
problem29 converged 0.4015614986419678
problem30 converged 0.40094494819641113
problem31 converged 0.4640390872955322
problem32 converged 0.2539191246032715
problem33 converged 0.3165097236633301
problem34 converged 0.35390567779541016
problem35 converged 0.5489685535430908
problem36 converged 0.41611361503601074
problem37 converged 0.26947712898254395
problem38 converged 0.4700644016265869
problem39 converged 0.30080485343933105
problem40 converged 0.47600793838500977
problem41 converged 0.3794257640838623
problem42 converged 0.40089869499206543
problem43 converged 0.41668081283569336
problem44 converged 0.46355342864990234
problem45 converged 0.5478699207305908
problem46 converged 0.5791866779327393
problem47 converged 0.4164268970489502
problem48 converged 0.2850773334503174
problem49 converged 0.3850531578063965
problem50 converged 0.4699108600616455
problem51 converged 0.4624650478363037
problem52 converged 0.5013184547424316
problem53 converged 0.2902843952178955
problem54 converged 0.4007294178009033
problem55 converged 0.3851151466369629
problem56 converged 0.4167044162750244
problem57 converged 0.30049872398376465
problem58 converged 0.36328840255737305
problem59 converged 0.32907557487487793
problem60 converged 0.5092761516571045
problem61 converged 0.531935453414917
problem62 converged 0.5858113765716553
problem63 converged 0.598407506942749
problem64 converged 0.3012969493865967
problem65 converged 0.401059627532959
problem66 converged 0.3008275032043457
problem67 converged 0.4017314910888672
problem68 converged 0.31705689430236816
problem69 converged 0.3476674556732178
problem70 converged 0.46005773544311523
problem71 converged 0.33852148056030273
problem72 converged 0.33924365043640137
problem73 converged 0.4015622138977051
problem74 converged 0.5864777565002441
problem75 converged 0.4006500244140625
problem76 converged 0.49452662467956543
problem77 converged 0.3474304676055908
problem78 converged 0.2474045753479004
problem79 converged 0.43851804733276367
problem80 converged 0.3784446716308594
problem81 converged 0.39235615730285645
problem82 converged 0.3633120059967041
problem83 converged 0.47040653228759766
problem84 converged 0.33203697204589844
problem85 converged 0.25392627716064453
problem86 converged 0.3541991710662842
problem87 converged 0.39380431175231934
problem88 converged 0.5480000972747803
problem89 converged 0.5325701236724854
problem90 converged 0.31606554985046387
problem91 converged 0.3632938861846924
problem92 converged 0.41669344902038574
problem93 converged 0.5650038719177246
problem94 converged 0.43229103088378906
problem95 converged 0.26954126358032227
problem96 converged 0.3698108196258545
problem97 converged 0.43231797218322754
problem98 converged 0.5703330039978027
problem99 converged 0.36943984031677246
