---
algname: CP scaling
success: converged
free_format: True
---
problem0 converged 342816692.27267
problem1 converged 285697301.6978962
problem2 converged 229555974.11616644
problem3 converged 1448192158.801883
problem4 converged 2272367192.775974
problem5 converged 80615638.80693656
problem6 converged 707236825.3661407
problem7 converged 165849575.5791992
problem8 converged 101629600.3654594
problem9 converged 286963931.6482999
problem10 converged 368889262.77454853
problem11 converged 103578324.62619813
problem12 converged 75118671.87345485
problem13 converged 695571322.7365488
problem14 converged 368678124.1893079
problem15 converged 1104566113.9853916
problem16 converged 99533427.45871629
problem17 converged 182571048.47850296
problem18 converged 4224098060.3950744
problem19 converged 111626771.67760007
problem20 converged 70210351.13134943
problem21 converged 169027740.98869374
problem22 converged 1416345642.8055394
problem23 converged 518448659.0540528
problem24 converged 681554292.954798
problem25 converged 388311382.6213558
problem26 converged 924801078.9747766
problem27 converged 466908034.5208026
problem28 converged 203520404.96998516
problem29 converged 3394750453.620349
problem30 converged 61969457.334510356
problem31 converged 153674040.98174685
problem32 converged 1299741634.7759924
problem33 converged 1032358369.2065619
problem34 converged 289020784.3870463
problem35 converged 196238610.93482625
problem36 converged 473099134.21804404
problem37 converged 911153356.5587853
problem38 converged 614265049.3885626
problem39 converged 339458317.1825866
problem40 converged 372607902.38654536
problem41 converged 186115767.93563765
problem42 converged 1588636692.4589393
problem43 converged 455152428.0030153
problem44 converged 258409317.96402788
problem45 converged 910985664.8044655
problem46 converged 451279701.5837103
problem47 converged 1000547463.7735261
problem48 converged 142529817.1801307
problem49 converged 3097321028.8144674
problem50 converged 471386157.5161496
problem51 converged 290455576.73057735
problem52 converged 304838846.78087217
problem53 converged 76843912.76283742
problem54 converged 3554511903.7938685
problem55 converged 156506480.92062905
problem56 converged 1089464604.43656
problem57 converged 284702679.5458318
problem58 converged 159973656.2382262
problem59 converged 2693766649.0346165
problem60 converged 2418706286.236323
problem61 converged 843322587.1368643
problem62 converged 806745846.581413
problem63 converged 157647936.98137027
problem64 converged 126359760.09816647
problem65 converged 406674379.5817112
problem66 converged 417112164.9115714
problem67 converged 999795295.7874761
problem68 converged 386967559.28435826
problem69 converged 51829679.571586326
problem70 converged 193549575.7161593
problem71 converged 473746698.45970076
problem72 converged 162516172.9131033
problem73 converged 432267346.0307851
problem74 converged 636274363.181067
problem75 converged 4047330973.0639753
problem76 converged 1836348792.6340673
problem77 converged 196662138.18969944
problem78 converged 180434216.69025317
problem79 converged 317040431.17336845
problem80 converged 4142407130.8510895
problem81 converged 435719294.6975413
problem82 converged 76490425.80891703
problem83 converged 571407594.5238935
problem84 converged 75003860.52093382
problem85 converged 871243972.0899625
problem86 converged 246872578.55714294
problem87 converged 468404800.63537747
problem88 converged 138899861.55764285
problem89 converged 1101558465.6991107
problem90 converged 15696004.568604097
problem91 converged 610380163.8193996
problem92 converged 427778740.5350486
problem93 converged 517713058.5235128
problem94 converged 180682915.63757488
problem95 converged 490311535.19616324
problem96 converged 114018513.32190387
problem97 converged 178312792.33808017
problem98 converged 544621112.8684349
problem99 converged 715703930.612473
