---
algname: ADMM scaling
success: converged
free_format: True
---
problem0 converged 0.7093551158905029
problem1 converged 0.637016773223877
problem2 converged 0.3367481231689453
problem3 converged 0.4686849117279053
problem4 converged 0.6721491813659668
problem5 converged 0.4567101001739502
problem6 converged 0.31821513175964355
problem7 converged 0.59385085105896
problem8 converged 0.5803687572479248
problem9 converged 0.419783353805542
problem10 converged 0.463367223739624
problem11 converged 0.43466687202453613
problem12 converged 0.4219820499420166
problem13 converged 0.38921689987182617
problem14 converged 0.5542616844177246
problem15 converged 0.3716428279876709
problem16 converged 0.5830132961273193
problem17 converged 0.5337338447570801
problem18 converged 0.7669310569763184
problem19 converged 0.641221284866333
problem20 converged 0.5108745098114014
problem21 converged 0.3903181552886963
problem22 converged 0.3232545852661133
problem23 converged 0.6719002723693848
problem24 converged 0.6925654411315918
problem25 converged 0.5183112621307373
problem26 converged 0.383899450302124
problem27 converged 0.4062836170196533
problem28 converged 0.3224649429321289
problem29 converged 0.4860401153564453
problem30 converged 0.5089375972747803
problem31 converged 0.34284520149230957
problem32 converged 0.4581773281097412
problem33 converged 0.33777856826782227
problem34 converged 0.28926873207092285
problem35 converged 0.5005378723144531
problem36 converged 0.2856736183166504
problem37 converged 0.4249603748321533
problem38 converged 0.3457798957824707
problem39 converged 0.5089056491851807
problem40 converged 0.32028818130493164
problem41 converged 0.376708984375
problem42 converged 0.42961955070495605
problem43 converged 0.4642174243927002
problem44 converged 0.43140649795532227
problem45 converged 0.41539740562438965
problem46 converged 0.3812847137451172
problem47 converged 0.40492939949035645
problem48 converged 0.40221595764160156
problem49 converged 0.47846460342407227
problem50 converged 0.5920591354370117
problem51 converged 0.4478306770324707
problem52 converged 0.415283203125
problem53 converged 0.5001912117004395
problem54 converged 0.3543059825897217
problem55 converged 0.5910348892211914
problem56 converged 0.4703083038330078
problem57 converged 0.6770081520080566
problem58 converged 0.3209836483001709
problem59 converged 0.5006039142608643
problem60 converged 0.4462752342224121
problem61 converged 0.5006861686706543
problem62 converged 0.38180088996887207
problem63 converged 0.4999043941497803
problem64 converged 0.514819860458374
problem65 converged 0.37079429626464844
problem66 converged 0.38335299491882324
problem67 converged 0.40488195419311523
problem68 converged 0.2957749366760254
problem69 converged 0.4554600715637207
problem70 converged 0.46686887741088867
problem71 converged 0.6569323539733887
problem72 converged 0.4165773391723633
problem73 converged 0.5119748115539551
problem74 converged 0.4725837707519531
problem75 converged 0.3979785442352295
problem76 converged 0.4833364486694336
problem77 converged 0.33106541633605957
problem78 converged 0.323927640914917
problem79 converged 0.4338419437408447
problem80 converged 0.5158517360687256
problem81 converged 0.469757080078125
problem82 converged 0.3581857681274414
problem83 converged 0.39864039421081543
problem84 converged 0.4343585968017578
problem85 converged 0.3460197448730469
problem86 converged 0.41231489181518555
problem87 converged 0.5281267166137695
problem88 converged 0.4139127731323242
problem89 converged 0.5268332958221436
problem90 converged 0.4683339595794678
problem91 converged 0.41585731506347656
problem92 converged 0.41739416122436523
problem93 converged 0.4408717155456543
problem94 converged 0.3840517997741699
problem95 converged 0.44108057022094727
problem96 converged 0.8003332614898682
problem97 converged 0.3879096508026123
problem98 converged 0.3516504764556885
problem99 converged 0.5357856750488281
